ticket_id,category,priority,sentiment,subject,plan_tier,mrr,latest_customer_message,ground_truth_reply,required_facts,expected_action_items,tone_requirement
TICK-111,billing,normal,confused,Unexpected mid-month charge for additional seats,Pro,200.0,"Hi, our card was just debited $52.50 by Hiver. Our normal billing date is on the 1st of the month. Why are we getting charged mid-cycle? Please explain this unexpected transaction.","Hi Marcus,

Thank you for reaching out, and happy to clarify this charge for you!

The $52.50 transaction on September 14th represents pro-rated billing for 3 new team members added to your Pro plan midway through your billing cycle.

Here is how that breaks down:
- Standard Pro seat rate: $25.00/seat/month.
- On September 14th, 3 seats were invited, with 21 days remaining in your monthly billing cycle.
- 3 seats × $25 × (21/30 days) = exactly $52.50.

Moving forward, on your next regular billing cycle (October 1st), these 3 seats will simply be consolidated into your regular single monthly invoice.

You can always download the itemized invoice for this charge under Settings > Billing > Invoices. Let me know if you have any other questions about your subscription!

Best regards,
Hiver Billing Team",Explain $52.50 is pro-rated charge for 3 seats added mid-month | Show transparent calculation ($25/seat for remaining 21 days) | Clarify consolidation into regular Oct 1 billing date | Where to view invoice in Settings > Billing,Breakdown exact proration math | Point to invoice download location,transparent_informative_friendly
TICK-112,technical_issue,high,frustrated,Re: Extension crashing repeatedly - Error 504 on Gmail open,Pro,550.0,"I am on Hiver extension version 8.11.2 on macOS Chrome 128. I turned off Grammarly and AdBlock, but the 504 error keeps appearing every time I switch to my shared inbox tab. It's making it impossible to work!","Hi Natalie,

Thank you for checking those details so quickly, and I apologize for the disruption this 504 crash is causing to your daily workflow.

That specific error on version 8.11.2 was caused by an outdated API endpoint that was deprecated in our recent infrastructure release. We patched this in version 8.14.3.

Here is how to resolve it in under 60 seconds:
1. Open Google Chrome and go to `chrome://extensions` in your address bar.
2. In the top-right corner, toggle on **Developer mode**.
3. Click the **Update** button that appears in the top menu.
4. Verify that Hiver updates to version 8.14.3 (or later), then reload Gmail (`Cmd + Shift + R`).

This will re-establish the connection to our updated gateway endpoints and eliminate the 504 error completely.

I will keep this ticket open until you reply to confirm your inbox is loading normally without crashes. Thank you for your patience!

Best regards,
Hiver Technical Operations","Acknowledge multi-turn thread context (version 8.11.2, Grammarly/AdBlock ruled out) | Diagnose 504 error to deprecated API endpoint in older version | Provide explicit Chrome update steps to v8.14.3 | Hard refresh shortcut (Cmd + Shift + R)",Specific step-by-step update guide | Commitment to keep ticket open until verified,responsive_appreciative_efficient
TICK-113,account_access,urgent,urgent,Account Owner left company - need ownership transfer,Enterprise,1800.0,"Our former Head of IT, Jason Reed, has abruptly left the company and his corporate email is deactivated. He was the primary Account Owner of our Hiver Enterprise workspace. We need to transfer full ownership to me (caroline.foster@venturecapital.com) today so we can manage licenses and billing. How do we proceed?","Hi Caroline,

Thank you for contacting Enterprise Support, and I can certainly facilitate this ownership transfer for your organization today.

Because Account Ownership grants root access to corporate communications, billing details, and audit records, we follow a strict verification protocol when the previous owner is unavailable:

1. **Authorized Officer Authorization**: We require an email confirmation from a C-level executive (CEO, CFO, COO) or verified corporate legal officer from your domain (`venturecapital.com`) confirming the ownership transfer to `caroline.foster@venturecapital.com`.
2. **Verification Form**: Please complete our 1-page expedited [Enterprise Ownership Transfer Affidavit] (attached) signed by an officer.

Alternatively, if your Google Workspace Super Admin can temporarily alias Jason's former address or approve via Google Admin SSO vouching, we can execute the transfer within 30 minutes.

Once received, our Security Compliance team will migrate primary ownership while preserving all existing shared inboxes, tags, templates, and analytics without any downtime. I am monitoring this thread continuously—please reply with the officer approval or let me know if your Google Super Admin can vouch!

Warm regards,
Hiver Enterprise Security Team","Explain security compliance requirement for C-level or Google Super Admin verification | Reassure no downtime, tag loss, or data disruption | Expedited Enterprise protocol",Provide clear verification criteria | Provide alternative fast path via Google Super Admin,enterprise_secure_reassuring
TICK-114,cancellation_refund,normal,angry,Charged $300 after 14-day free trial expired without notice!,Pro,300.0,"I signed up for a 14-day trial two weeks ago. We decided not to use Hiver, and suddenly this morning my bank alerted me of a $300 debit! You guys didn't send any reminder email before billing my card. Reverse this charge immediately and cancel our account!","Hi Bradley,

I understand your surprise and frustration seeing that $300 charge this morning, and I am glad to resolve this for you right away.

Because your trial converted only yesterday and you did not intend to continue, you are 100% eligible under our 14-day refund guarantee. 

I have taken the following actions immediately:
1. **Full Refund**: Processed a complete refund of $300.00 back to your original payment method. You should see this credit reflect in your account within 3-5 business days.
2. **Immediate Cancellation**: Cancelled your subscription and deactivated the workspace so no future automated charges will ever occur.

I also apologize if our automated 3-day trial expiration notice did not reach your primary inbox. A confirmation receipt for the $300 refund has been sent to your email. Thank you for giving Hiver a try, and I wish you and Urban Boutique all the best!

Warm regards,
Hiver Customer Support",14-day refund guarantee applies | Full $300 refund processed immediately | Account cancelled to prevent future charges | 3-5 business days settlement timeframe,Confirm immediate full refund | Confirm account deactivation | State 3-5 business days timeline,prompt_apologetic_courteous
TICK-115,sla_escalation,urgent,urgent,CRITICAL: Flash Sale starts in 45 minutes - shared mailbox unresponsive,Enterprise,3200.0,"EMERGENCY: Our nationwide Flash Sale begins at 4:00 PM EST (in 45 minutes). When our 40 agents open our orders@ shared mailbox in Gmail, the right-side Hiver drawer spins with a loading wheel indefinitely. We have thousands of order inquiries about to land. We need immediate live engineering support on a call right now!","Dear Jessica,

I am jumping on this immediately with top-tier priority. Here is your immediate emergency live bridge: https://meet.google.com/hiv-ent-escalate

I am already joined in that room along with our On-Call Lead Infrastructure Engineer, and we are ready to assist you right this second.

While you join, our backend monitoring confirms that our core API is operational, but your workspace experienced an un-indexed tag query spike caused by a bulk import earlier this afternoon. Our engineers have already applied an immediate query cache override to your mailbox (ACC-22910), which is flushing the hang.

Please have 1-2 reps do a hard refresh (`Cmd + Shift + R` or `Ctrl + Shift + R`) right now. We will verify stability together on the live Meet bridge and remain on standby with you throughout the entire 4:00 PM launch.

See you on the Meet bridge immediately,
Senior Enterprise Incident Commander",Immediate emergency live bridge provided | Acknowledge 45-minute countdown and flash sale criticality | Explain query cache override applied | Instruct hard refresh,Instant video bridge link | Immediate engineering intervention | Hard refresh instruction,urgent_commanding_supportive
TICK-116,feature_request,normal,neutral,Mobile App support for managing shared inboxes on iOS/Android,Starter,90.0,"Hello, our field technicians are on the road all day with iPhones and need to assign, tag, and reply to customer emails in our shared emergency mailbox. Does Hiver offer a native mobile app for iOS and Android? If so, where can we download it?","Hi Danielle,

Thank you for reaching out! Yes, absolutely—Hiver offers fully functional native mobile apps for both iOS and Android designed specifically for teams on the go.

With the Hiver mobile app, your field technicians can:
- View all shared inboxes and unassigned emails in real-time.
- Assign emails to themselves or other teammates.
- Add internal notes to collaborate without emailing back and forth.
- Reply directly to customers using shared email templates.

You can download the apps directly from:
- **Apple App Store (iOS)**: Search for 'Hiver: Shared Inbox' or visit hiverhq.com/ios
- **Google Play Store (Android)**: Search for 'Hiver' or visit hiverhq.com/android

Your technicians simply log in using their standard Google Workspace credentials. Once authenticated, all shared mailboxes will appear automatically. Let me know if you need help getting your team set up!

Best regards,
Hiver Mobile Team","Confirm native apps exist for both iOS and Android | Outline core mobile features (assign, internal notes, reply) | Provide download guidance and Google login instructions",Provide direct download links/instructions | Explain authentication procedure,helpful_enthusiastic_clear
TICK-117,onboarding,normal,confused,How to set up round-robin auto-assignment across our 8 reps?,Pro,400.0,"Hi, we have 8 agents in our 'help@' mailbox. Right now emails just sit unassigned until someone picks them up, leading to uneven workloads. How do we configure Hiver to automatically distribute incoming emails equally in round-robin fashion?","Hi Arjun,

Welcome to Hiver! Setting up automated round-robin distribution is one of the best ways to ensure fair workload balance and speed up first response times.

Here is how you can set up round-robin assignment in less than 2 minutes:

1. Log into your Hiver Admin panel and navigate to **Settings > Shared Mailboxes > 'help@fintechscale.io'**.
2. Click on the **Auto-Assignment** tab on the left.
3. Toggle **Round-Robin Assignment** to **ON**.
4. Under 'Eligible Teammates', select the 8 agents you want included in the rotation.
5. *(Optional but recommended)*: Toggle **'Exclude teammates who are Out-of-Office or Offline'** so unassigned tickets aren't routed to agents who are away.
6. Click **Save Changes**.

From that moment forward, every new incoming thread will automatically cycle to the next available agent in sequence.

Let me know if you would like me to review your setup once configured, and I'd be glad to take a look!

Warm regards,
Hiver Customer Onboarding",Step-by-step instructions via Settings > Shared Mailboxes > Auto-Assignment | Toggle Round-Robin ON and select 8 eligible teammates | Highlight out-of-office/offline exclusion feature,Clear numbered walkthrough | Proactive offer to review configuration,supportive_clear_instructional
TICK-118,billing,normal,neutral,501(c)(3) Sales Tax Exemption for non-profit foundation,Starter,90.0,"Hello Hiver support, Hope Community Foundation is a registered 501(c)(3) non-profit organization in California. Our recent invoice included state sales tax. Attached is our IRS determination letter and California state tax exemption certificate. Could you please update our account to tax-exempt and credit back the sales tax? Thank you.","Dear Sister Mary Catherine,

Thank you for reaching out and for your important community work at the Hope Community Foundation!

I have received your IRS 501(c)(3) determination letter and California state tax exemption certificate. Here is what has been completed:

1. **Tax-Exempt Status Applied**: Our finance team has validated your certificate and flagged account ACC-61028 as officially Tax-Exempt. All future monthly invoices will be 100% free of sales tax.
2. **Sales Tax Refund Credited**: I have processed a direct credit of the $7.88 sales tax charged on your latest invoice back to your payment card (expected in 3-5 business days).
3. **Updated Invoices**: A revised zero-tax receipt for your August billing has been generated and is now accessible under Settings > Billing > Invoices.

Please let me know if you need anything further, and thank you for being a valued part of the Hiver community!

Warm regards,
Hiver Billing Operations",Acknowledge non-profit 501(c)(3) exemption documentation | Confirm tax-exempt flag applied to future billing | Refund/credit past sales tax charged | Point to updated tax-exempt receipt under Settings > Billing,Confirm exemption applied | Process tax refund | Provide updated documentation,respectful_courteous_prompt
TICK-119,account_access,high,urgent,Okta SSO integration failing with 'Invalid SAML Assertion',Enterprise,2100.0,"Hi, we are rolling out Okta SAML SSO across our 60 reps today. Every user attempting to log in receives the error 'Invalid SAML Assertion: Audience URI mismatch'. Our team cannot log in to Hiver. Please help immediately.","Hi Devin,

Thank you for reaching out to Enterprise Support—I know how critical SSO rollout day is, and let's get your 60 reps authenticated immediately.

The 'Audience URI mismatch' error occurs when the Entity ID configured inside Okta does not match Hiver's exact SP (Service Provider) entity string format.

Here is how to fix this in Okta within 2 minutes:
1. Log into your **Okta Admin Console** and open your **Hiver SAML App** configuration.
2. Navigate to **General > SAML Settings > Edit**.
3. Check the field **Audience URI (SP Entity ID)**:
   - It should be set exactly to: `https://hiverhq.com/saml/metadata/ACC-91204` (case sensitive, no trailing slash).
4. Check the **Single Sign-On URL (ACS URL)**:
   - It must be: `https://hiverhq.com/saml/acs/ACC-91204`
5. Save changes in Okta.

Once saved, have one user test login in an incognito window. The assertion handshake will match immediately.

I will remain active on this ticket to monitor your team's successful logins. If you'd like our identity engineer on a screen share to double-check attributes, let me know!

Best regards,
Hiver Enterprise Identity Team",Explain Audience URI mismatch error (Entity ID discrepancy) | Provide exact SP Entity ID and ACS URL with customer account ID (ACC-91204) | Offer real-time verification and screen share,Explicit field-by-field Okta configuration guide | Test recommendation (incognito window),expert_urgent_supportive
TICK-120,technical_issue,normal,frustrated,Re: CSV Export of shared mailbox tickets times out at 80%,Pro,320.0,"There are about 35,000 tickets. Our executive team needs the full year report for our quarterly business review tomorrow morning. Breaking it into 12 separate months by hand would take hours. Can you generate the full export from your side?","Hi Siddharth,

Thank you for providing the volume context, and I completely understand why you need the complete 12-month dataset ready for tomorrow's executive review.

Browser-based exports over 20,000 records frequently encounter HTTP timeout limits imposed by local browser sessions. To spare you the tedious manual work of downloading month-by-month, I have generated the export directly through our backend data pipeline.

Here is what I've done:
1. Compiled your complete 12-month dataset (all 35,214 tickets with tags, resolution times, and agent notes) into an encrypted zip archive.
2. Uploaded it to our secure temporary download vault:
   **Download Link**: `https://vault.hiverhq.com/exports/ACC-43901-FY2026-FullExport.zip` *(link active for 72 hours)*.
3. The file is encrypted with AES-256; I have sent the one-time decryption key via SMS to your registered phone number.

Please verify that the file downloads smoothly and that all metrics align with your expectations. Best of luck with tomorrow's executive presentation!

Warm regards,
Hiver Technical Operations","Acknowledge multi-turn context (35,000 tickets, executive review deadline tomorrow) | Explain browser HTTP timeout on large volume exports (>20,000 records) | Provide direct backend-generated secure download link | Provide encryption security protocol",Deliver complete backend export link | Explain encryption/security details,proactive_empathetic_high_touch
